mentor,co_author,num1,db_teahcer,num2
朱永,"宋崇立,何其盛,殷武,何培炯,庄永能,王学军,樊诗国,刘学刚,焦荣洲,万春荣,秦永生,唐文成,沙清桂,朱永,吴秋林,朱礼洋,田国新,徐景明,陶家洵,郁建涵,王守忠,姜长印,孟祖贵,陈靖,邓劲光,王兴海,池汝安,景山,宋心琦,王士柱,丛进阳,李总成,冯正风,戴为智,梁俊福,段五华,曹丕佳,杨欣,文明芬,杨大助,胡熙恩,廖史书,陆九芳,韩宾兵,曹轩,张伟,刘秀琴,李阳兴,刘秉仁",49,"朱永,陆九芳,张伟,廖史书",4
关肇邺,"程晓喜,韩孟臻,关肇邺,姜娓娓,张盛丽,吴良镛,王彦,陈尧,刘玉龙",9,"吴良镛,关肇邺",2
江亿,"徐继军,魏庆芃,郑忠海,高志宏,秦蓉,徐瑛,李震,赵彬,谢晓云,常晓敏,康艳兵,陈晓阳,狄洪发,张海强,张岩,秦佑国,田浩,杨秀,江浥,林波荣,彭琛,李永红,李岩,江邑,莫青,成通宝,张伟荣,张晓亮,樊洪明,燕达,赵荣义,刘烨,赵康,夏建军,王苏颖,王刚,林坤平,付林,曲凯阳,朱颖心,张野,秦绪忠,杜敬三,张寅平,戴斌文,韩伟国,张声远,夏一哉,张涛,丰晓航,曾剑龙,柴沁虎,谢晓娜,王远,郭非,江亿,李元哲,李先庭,易晓勤,陈琳,彦启森,杨巍巍,王补宣,刘晓华,方豪,姜子炎,刘兰斌,常东来,宋芳婷,薛志峰,吴如宏,王威,齐晔,耿克成,刘拴强,简毅文",76,"王补宣,李震,刘烨,张涛,李岩,江亿",6
安继刚,"周立业,刘锡明,朱胜江,童建民,向新程,丛鹏,邬海峰,王立强,谢长清,曲长芝,刘以思,刘桂林,黄毅滨,吴志芳,王守忠,卿上玉,尹在哲,张颜民,顾伯华,沈毅雄,黄毅斌,李明,郝朋飞,高宝增,邬海锋,何天青,吴学超,安继刚,李毅强,郑沅水,刘德绍,王振涛,刘金汇,裘伟东,王诚泰,张静懿",36,"李明,安继刚",2
孙家广,"李新友,刘东升,刘续征,刘澎,洪先龙,郭陟,朱长才,王学福,吴怀军,汪国平,冯荣峰,刘芳,唐泽圣,陈玉健,顾明,袁波,杜明翠,叶晓俊,冯宏华,赵建伟,刘强,周琛,张慧,邓大鹏,黄钢,施侃乐,范刚,胡事民,陈爱,赵修伟,刘敬,郑国勤,刘世霞,吕浩进,秦开怀,肖力田,刘玉身,王建民,赵曦滨,查海平,刘喜明,衣春生,彭宇,吴邦欲,赵亮,柳西玲,季敏雯,许隆文,向东,骆科东,漆驰,李彦涛,王涛,竺士敏,辜凯宁,郭聿林,王斌,吴启明,严冬明,陆薇,孙家广,董未名,雍俊海,张钹,杨怀平,李庆虎,朱翔,杨长贵,王泽毅,贺飞,闻立杰,周昀,左征",73,"王涛,刘强,王斌,张钹,孙家广,胡事民,秦开怀,向东",8
李三立,"陈英明,方兴,孟杰,林成江,朱子玉,李亚民,武剑锋,王晓英,麦联叨,熊守美,顾雷,张瀛,王坤,黄国勇,戈弋,王罡,唐瑞春,周桂林,杜彬,吴梦月,罗玉华,向勇,柳百成,武剑峰,时培植,黄巍,李三立,沈时军,吴昭,黄震春,傅兴钢,柴云鹏,王小鸽,解月剑,陈磊,刘昊飞,王显著,廖恒,许斌,卓小越,都志辉,李树有,柳瑞恒,马群生,张伟,何川",46,"陈磊,向勇,柳百成,许斌,王罡,张伟,都志辉,熊守美,黄震春,李三立",10
李龙土,"孙竞博,孟永钢,王树昕,宗瑞隆,唐育英,缪春林,樊亦伟,白海林,沈建红,毕晓鹏,胡伟,万冬梅,吴音,顾威,孟祥宇,周济,鲍健儿,岳振星,王雨,张洪国,王德君,王睿,何元金,李龙土,邓维体,罗红雨,黄勇,仇正祥,蔡锴,陈仁政,朱青,齐西伟,韩秀全,沈文江,谢志鹏,赵宏杰,陈万平,桂治轮,蔡娟,孙瑜,王浩,季叶,王茂,马振伟,马兴坤,郭彧淳,周晖,蔡坤鹏,张孝文,尉京志,萧小月,秦天,白洋,朱永法,董为民,杜鹏,邱虹云,齐建全,钟亮,曹立礼,林红,文海,高素华,闫婧,崔爱莉,周世平,李建保,方菲,王保卫,苏水源,黄学光,董蜀湘,王常生,桂冶轮,阎立,李琦,郭栋,李勃,曹江利,卜小东,闫培渝,吴海燕,赵建玲,郁伟中,刘忆翥,李娴,赵景畅,王永力,赵飞,曾智强,邵天敏,邬军飞,曲卫国,周铁英,胡晓冰,刘小萍,李俊国,周和平,张勇,孙黎,李鑫,陈翔宇,刁雷,李恩竹,龚文,康爱国,郭文宇,杜波,李宝让,孙振新,阎培渝,陆新民,邱海波,魏晓勇,褚祥诚,李亚运,杨刚",117,"崔爱莉,阎培渝,岳振星,谢志鹏,李琦,朱永法,邵天敏,方菲,孟永钢,李鑫,褚祥诚,王睿,林红,李龙土,李勃,周济",16
李恒德,"马春来,孙文珍,张芳伟,何卫,李嘉,张济忠,冯庆玲,武庆兰,王英华,李恒德,丁菊仁,金敏超,余焜,范玉殿,王宇,柳百新,梁彤翔,范毓殿,汪泓宏,闫忻水,吴晓东,李文治,陈鹤鸣,贺小明,邱健全,赵宏生,殷宏,程国安,汤海鹏,彭平华,王浩,冯嘉尤,唐昭平,郑隆烈,孙晓丹,黄立基,刘晓民,及开元,冯嘉猷,章开琏,张效忠,赵翔,林浩祥,战景林,潘金生,何向军,史彦涛,陶琨,陈震,王立铎,王秀梅,蔡强,徐鲁华,朱庄德,马志龙,和志刚,江海,田嘉禾,吕允文,崔福斋,陈皓明,刘长洪,田民波,李艳,翁端,张继",66,"孙晓丹,吴晓东,王秀梅,李恒德,刘长洪,翁端,王立铎,柳百新,蔡强",9
李道增,"李道增,吴良镛,许瑾,庄惟敏,文爱平",5,"吴良镛,李道增",2
李焯芬,"张建民,李明,胡耘,张嘎,刘文星,李焯芬,王丽萍,张嗄,钱纪芸",9,"张建民,张嘎,李明,李焯芬",4
